Collection_year,Background_pollu,Raw_cooked,Hg_conc,Tair_f_inst_MEAN,Albedo_inst_MEAN,AvgSurfT_inst_MEAN,Qsb_acc_MEAN,ECanop_tavg_MEAN,ESoil_tavg_MEAN,LWdown_f_tavg_MEAN,Evap_tavg_MEAN,Qg_tavg_MEAN,Qle_tavg_MEAN,Swnet_tavg_MEAN,Lwnet_tavg_MEAN,CanopInt_inst_MEAN,PotEvap_tavg_MEAN,Rainf_tavg_MEAN,RootMoist_inst_MEAN,Qh_tavg_MEAN,Snowf_tavg_MEAN,SnowDepth_inst_MEAN
2017,0,1,5.75,280.550209,13.3038702,282.7332153,0.03933008,0.251774192,21.25060463,307.607254,8.81E-06,-3.61873436,22.04288483,64.12475586,-42.02346802,0.045245968,56.91606522,4.58E-06,336.6816711,3.726115465,0,0
2017,0,1,6.22,283.2534943,13.35484838,280.8477249,0.107013166,1.145131066,24.64134073,315.5756378,1.07E-05,-3.478754461,26.8442564,77.31172562,-40.43301392,0.161798384,60.85026836,1.78E-05,349.8499222,13.61871648,0,1.71E-06
2017,0,1,12.06,284.2851664,13.07190304,265.5663757,0.000114903,0.000532258,1.44983871,325.1099141,6.28E-07,-4.582161713,1.584740257,93.47158203,-63.17683868,0,65.79670105,1.45E-09,167.3084381,33.61492996,2.36E-07,0.000251129
2017,0,1,3.53,260.1903415,23.11363792,266.1908951,1.80E-05,0.183281249,2.194832593,202.2149685,5.07E-06,-0.591796055,14.0509851,104.9086838,-57.3610611,0.006566964,95.32864571,0,208.7546425,33.89690256,5.19E-06,0.028471429
2017,1,1,138.01,279.2062988,16.72056452,267.6441752,0.002654341,0.010793011,2.853239298,314.5561218,1.57E-06,-6.444271882,4.060506344,89.85572561,-66.0845693,0.000298387,62.55619939,1.42E-07,214.3527018,26.25470416,1.72E-06,0.002031855
2014,0,0,12.8,280.290329,10.65338669,276.9520752,0.025662532,0.238056454,11.22016926,299.2353821,5.12E-06,-0.354718608,12.81927891,80.36671753,-59.25983658,0.007309677,67.38727493,1.86E-06,363.2146423,8.867461586,1.31E-07,0.000202661
2014,0,0,8.9,280.8179474,16.89016565,266.1533474,0.000192876,0.000304659,1.286021504,284.1788406,5.42E-07,-1.678478426,1.363650997,93.55907779,-72.26809014,0,63.81230927,9.77E-09,85.90068309,21.9049299,1.77E-07,0.000242652
2014,0,0,11.4,280.9349365,17.21051359,270.4114075,0.009241109,0.024435484,3.916461706,300.3268433,1.75E-06,-1.409004889,4.394125819,95.54744911,-72.40218353,0.000191532,84.45838928,1.14E-07,238.6671829,20.39611053,6.28E-07,0.000187903
2013,8,0,19.53320625,277.972168,18.49397087,272.3054047,0.004988629,0.526370972,3.862681508,302.4427795,3.13E-06,-0.654322809,8.171748638,90.75717926,-69.25648117,0.025181452,72.0745697,1.40E-06,234.3372345,13.90917492,1.67E-06,0.003202016
2014,0,0,1.9,254.1310349,14.16877985,279.9071503,0.009813064,0.406461693,21.74620962,179.1554769,9.41E-06,-1.102019012,23.55079889,99.60031128,-60.69495678,0.01815121,76.65529633,3.08E-06,394.5058823,16.66406417,0,2.02E-06
2014,0,0,4.5,253.2834763,12.94413948,279.1043905,0.015658293,1.179959675,19.47083282,177.880687,9.62E-06,-0.567358385,24.06142426,100.2161153,-60.7028834,0.035415322,77.1772817,3.89E-06,478.9540507,16.22164154,6.72E-10,9.41E-06
2014,0,0,3.7,255.1275843,13.98294306,279.8371201,0.007070151,0.480262086,22.16088724,182.5183785,9.93E-06,-0.464438364,24.82516432,99.96064377,-62.32500648,0.014974799,81.71410942,2.96E-06,337.9737167,13.44873142,0,2.02E-07
2014,0,0,4.4,256.4457832,13.91094049,279.4750163,0.005093401,0.641115596,22.50517527,186.3187479,9.67E-06,0.150141614,24.17926025,95.50438182,-61.13195546,0.046368279,87.60601807,7.75E-06,355.3927002,10.26537832,2.42E-09,3.09E-05
2012,1,0,23.7,275.7477112,23.5018549,265.0294189,0.007440988,0.114254031,4.737943411,293.5380554,4.94E-06,-11.08282804,13.35247946,91.2130661,-69.0725441,0.035014113,53.54023933,4.13E-08,251.0249023,19.88096237,5.17E-06,0.024053225
2013,0,0,3.142857143,288.8758606,14.71758032,280.6563873,0.015063467,0.053044356,17.90822601,342.3290527,7.36E-06,-1.14682281,18.41545868,71.60050583,-53.66206741,0.005516129,49.5101738,5.81E-07,335.499176,0.823650718,0,0
2014,0,0,11.0526,280.3978271,14.96947575,276.3930054,0.011777258,0.184677422,4.040967941,277.3466797,2.31E-06,-0.375355691,5.784408092,85.17564392,-60.31105423,0.002717742,100.0073242,8.09E-07,167.3403778,19.57701874,1.73E-08,2.82E-06
2014,0,0,14.3233,279.3487244,17.74983788,274.6835938,0.000458589,0.056935485,2.125524282,276.2380676,1.07E-06,-1.532694459,2.665617943,80.16552734,-61.83911896,0.000653226,95.52462006,3.73E-07,177.444931,17.31879234,5.65E-09,4.03E-07
2014,0,0,9.69925,278.1920776,14,273.9571838,0.013073528,0.322741926,8.345282078,269.2206116,3.70E-06,-2.768178225,9.265234947,86.71207809,-57.52365685,0.007852823,92.99232101,1.44E-06,246.8428879,22.7879858,0,0
2014,0,0,17.1429,280.8172455,16.34849186,273.7674438,0.004483064,0.743306458,4.978185463,284.7430725,2.88E-06,-0.356025057,7.209238911,81.57212982,-58.10320816,0.016477419,78.17873383,2.53E-06,223.4913727,16.82654991,3.24E-08,2.47E-05
2014,9,0,12,281.4928284,17.37439537,274.8007813,0.006554032,0.047338709,1.879637122,287.5975342,9.17E-07,-1.288823485,2.291625977,80.61157227,-62.08919907,0.000576613,99.84945679,3.81E-07,158.5126343,17.63262367,6.05E-09,4.03E-07
2008,0,0,5.4925,272.8552856,36.32334518,270.9170532,0.030748226,0.048749998,4.786411285,259.1416473,3.89E-06,-8.55847168,10.35193634,53.65584564,-43.14887619,0.018342743,43.26884842,4.35E-07,292.1698303,8.642951012,1.51E-05,0.116751611
2008,0,0,9.87,272.8552856,36.32334518,270.9170532,0.030748226,0.048749998,4.786411285,259.1416473,3.89E-06,-8.55847168,10.35193634,53.65584564,-43.14887619,0.018342743,43.26884842,4.35E-07,292.1698303,8.642951012,1.51E-05,0.116751611
2012,1,0,32.2,275.8444519,18.21209676,264.2863421,0.000480052,0.034095622,3.741025312,292.813324,3.38E-06,-8.402773448,9.086989914,98.07888249,-68.2126661,0.000654378,56.50002343,9.91E-09,210.0882852,29.29944529,3.25E-06,0.018739862
2013,10,0,8,282.30159,12.55354786,279.047821,0.025118751,0.466108873,13.7321372,329.3652344,6.89E-06,-0.83145991,17.22447109,67.14183426,-34.39367867,0.015965725,62.03253365,5.92E-06,335.0986786,16.44738102,0,0
2013,10,0,5,282.4908396,10.80530167,279.4852142,0.044523609,0.317540333,16.84629011,330.3272654,7.99E-06,-1.303465992,20.0054183,68.99212646,-34.00786304,0.013597782,63.16212177,1.80E-06,465.9651337,16.35909438,0,0.000187601
2015,0,0,28.05,279.1805878,10.05247275,279.8249105,0.010625175,1.535712361,17.08375009,282.7335815,9.87E-06,-2.962916295,24.69158236,91.49092865,-51.95870845,0.049858871,73.11748759,1.71E-05,661.1823527,17.9870313,0,0
2013,1,0,14,278.1707764,17.14448625,266.4074873,0.002196081,0.005942082,1.482598977,295.3645325,1.07E-06,-4.272880446,2.842271198,94.01422327,-70.21176841,0.000184384,80.72918216,6.61E-08,208.7937802,25.44403926,4.75E-07,0.003480022
2008,10,0,2.745099,272.8552856,36.32334518,270.9170532,0.030748226,0.048749998,4.786411285,259.1416473,3.89E-06,-8.55847168,10.35193634,53.65584564,-43.14887619,0.018342743,43.26884842,4.35E-07,292.1698303,8.642951012,1.51E-05,0.116751611
2014,0,0,8.75,283.4744415,13.26778221,270.1355489,0.033378427,0.012365591,2.302231153,304.1465454,9.81E-07,-2.854361057,2.463037173,142.1721649,-80.49622854,2.02E-05,98.81298065,4.30E-08,215.2341665,62.76018906,5.46E-07,0.000166801
2013,0,0,11.25,282.3292999,10.62688128,279.6311442,0.062832387,0.467231179,17.45336056,326.6365204,8.55E-06,-0.907783846,21.43035762,67.00211716,-32.5484101,0.02669086,59.72256025,5.15E-06,604.0560303,13.97575426,0,0.000349194
2013,0,0,10,283.3693695,14.12161255,278.8449707,0.010573911,0.046612903,12.3463707,322.1023865,5.35E-06,-1.514383316,13.39076138,81.60221863,-69.46307373,0.000544355,63.25521469,2.34E-07,303.7148132,0.599658787,0,8.06E-07
2013,0,0,8,280.8948873,13.74076557,278.6553497,0.01192619,0.044294355,11.41256046,313.2110697,5.17E-06,-1.509544611,12.93555927,78.19512177,-67.5747261,0.000594758,56.25426674,1.79E-07,333.9842529,-0.471429944,8.06E-09,3.02E-06
2013,0,0,8,281.6401443,13.96552372,279.7916972,0.016881426,0.037983871,15.097984,315.9332352,6.25E-06,-1.338294625,15.62390614,69.1180776,-54.80353165,0.002931452,44.49278132,3.64E-07,347.017629,0.198475994,1.05E-08,2.82E-06
2013,0,0,11,282.0407715,13.50063133,279.0358785,0.018481008,0.011263441,12.69707012,318.1041946,5.40E-06,-1.085902115,13.50300566,74.08668009,-61.59543864,0.000173387,44.50325267,4.88E-08,361.9552917,0.282561998,8.43E-08,6.99E-06
2013,0,0,8,283.6377258,14.59572554,278.0047913,0.013719839,0.150645159,13.70264101,322.868276,6.85E-06,-1.966097057,17.13936901,86.5865097,-74.80676651,0.002467742,48.066082,8.06E-08,372.3209381,-3.120683968,0,2.62E-06
